Departure,Arrival,Vessel Name,Service Land Name,POL,POD
2025-02-03,2025-03-31,SINAR SANUR 092S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-06,2025-03-12,WAN HAI 723 E017,AP1,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-26,INCEDA 012S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-29,INCEDA 012S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-31,INCEDA 012S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-26,HAIAN DELL 008S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-29,HAIAN DELL 008S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-03-31,HAIAN DELL 008S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-07,2025-04-03,HAIAN DELL 008S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-10,2025-03-26,CMA CGM VISBY 5IU8WS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-10,2025-03-29,CMA CGM VISBY 5IU8WS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-10,2025-03-31,CMA CGM VISBY 5IU8WS1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-03-10,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-03-15,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-03-28,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-03-31,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-03-31,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-11,2025-04-04,CONTI CONQUEST 031E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-13,2025-03-17,WAN HAI A15 004E,PS7,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
